"step_idx","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MAX","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - train mean (50 episode rewards)","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - train mean (50 episode rewards)__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - train mean (50 episode rewards)__MAX"
"7783","113","113","113","153.20585896073118","153.20585896073118","153.20585896073118"
"7843","114","114","114","153.96448770798625","153.96448770798625","153.96448770798625"
"7896","115","115","115","153.793021340635","153.793021340635","153.793021340635"
"7950","116","116","116","153.40492232712216","153.40492232712216","153.40492232712216"
"8001","117","117","117","152.75855127256557","152.75855127256557","152.75855127256557"
"8048","118","118","118","152.13105184949302","152.13105184949302","152.13105184949302"
"8134","119","119","119","151.74189272084485","151.74189272084485","151.74189272084485"
"8203","120","120","120","151.98732738839905","151.98732738839905","151.98732738839905"
"8266","121","121","121","152.17233615329712","152.17233615329712","152.17233615329712"
"8331","122","122","122","152.60989505266932","152.60989505266932","152.60989505266932"
"8393","123","123","123","152.9302542799966","152.9302542799966","152.9302542799966"
"8447","124","124","124","153.00774817881427","153.00774817881427","153.00774817881427"
"8505","125","125","125","153.0263659469739","153.0263659469739","153.0263659469739"
"8561","126","126","126","153.17554222677046","153.17554222677046","153.17554222677046"
"8615","127","127","127","153.01525656922652","153.01525656922652","153.01525656922652"
"8670","128","128","128","153.08263674256912","153.08263674256912","153.08263674256912"
"8759","129","129","129","152.7490618279356","152.7490618279356","152.7490618279356"
"8825","130","130","130","152.39894075054758","152.39894075054758","152.39894075054758"
"8888","131","131","131","152.56492901015233","152.56492901015233","152.56492901015233"
"8968","132","132","132","153.2873159555759","153.2873159555759","153.2873159555759"
"9042","133","133","133","154.074053868309","154.074053868309","154.074053868309"
"9140","134","134","134","155.79515496790629","155.79515496790629","155.79515496790629"
"9216","135","135","135","156.53382980320978","156.53382980320978","156.53382980320978"
"9344","136","136","136","158.86279708796405","158.86279708796405","158.86279708796405"
"12638","137","137","137","340.72213014253737","340.72213014253737","340.72213014253737"
"13043","138","138","138","355.20706240746927","355.20706240746927","355.20706240746927"
"13964","139","139","139","404.5175091794052","404.5175091794052","404.5175091794052"
"14882","140","140","140","457.83585991841755","457.83585991841755","457.83585991841755"
"15175","141","141","141","472.82375363503274","472.82375363503274","472.82375363503274"
"19812","142","142","142","758.8753675991711","758.8753675991711","758.8753675991711"
"21414","143","143","143","856.3892227878252","856.3892227878252","856.3892227878252"
"22514","144","144","144","917.9292660961572","917.9292660961572","917.9292660961572"
"22807","145","145","145","931.2817248614492","931.2817248614492","931.2817248614492"
"22919","146","146","146","935.1443907124338","935.1443907124338","935.1443907124338"
"23481","147","147","147","968.6197630683984","968.6197630683984","968.6197630683984"
"23685","148","148","148","979.2318434252255","979.2318434252255","979.2318434252255"
"24530","149","149","149","1023.8756254766469","1023.8756254766469","1023.8756254766469"
"24953","150","150","150","1042.2376125408691","1042.2376125408691","1042.2376125408691"
"25204","151","151","151","1061.536502795354","1061.536502795354","1061.536502795354"
"25785","152","152","152","1093.6381096560947","1093.6381096560947","1093.6381096560947"
"25906","153","153","153","1099.1127655267064","1099.1127655267064","1099.1127655267064"
"25980","154","154","154","1100.1179551373268","1100.1179551373268","1100.1179551373268"
"26048","155","155","155","1101.3668652067413","1101.3668652067413","1101.3668652067413"
"26116","156","156","156","1101.0444193569442","1101.0444193569442","1101.0444193569442"
"26183","157","157","157","1101.8726956971593","1101.8726956971593","1101.8726956971593"
"26245","158","158","158","1101.7716267442706","1101.7716267442706","1101.7716267442706"
"26474","159","159","159","1112.6956752388096","1112.6956752388096","1112.6956752388096"
"26695","160","160","160","1120.35072009759","1120.35072009759","1120.35072009759"
"26869","161","161","161","1128.3698783234497","1128.3698783234497","1128.3698783234497"
"26948","162","162","162","1128.6376956655142","1128.6376956655142","1128.6376956655142"
"27016","163","163","163","1129.428802914576","1129.428802914576","1129.428802914576"
"27085","164","164","164","1129.6060404032935","1129.6060404032935","1129.6060404032935"
"27147","165","165","165","1129.8202913361715","1129.8202913361715","1129.8202913361715"
"27204","166","166","166","1129.9461963867004","1129.9461963867004","1129.9461963867004"
"27256","167","167","167","1130.0199486962736","1130.0199486962736","1130.0199486962736"
"27308","168","168","168","1130.2764935354905","1130.2764935354905","1130.2764935354905"
"27740","169","169","169","1157.6023008185166","1157.6023008185166","1157.6023008185166"
"27804","170","170","170","1157.8175936159723","1157.8175936159723","1157.8175936159723"
"27862","171","171","171","1157.267034524079","1157.267034524079","1157.267034524079"
"27914","172","172","172","1156.9008465289774","1156.9008465289774","1156.9008465289774"
"27968","173","173","173","1156.2434195439942","1156.2434195439942","1156.2434195439942"
"28031","174","174","174","1157.0311097432004","1157.0311097432004","1157.0311097432004"
"28092","175","175","175","1157.047375957133","1157.047375957133","1157.047375957133"
"28150","176","176","176","1157.3113807693128","1157.3113807693128","1157.3113807693128"
"28208","177","177","177","1157.391735979981","1157.391735979981","1157.391735979981"
"28263","178","178","178","1157.4719836169454","1157.4719836169454","1157.4719836169454"
"28476","179","179","179","1165.7380299387046","1165.7380299387046","1165.7380299387046"
"28537","180","180","180","1166.2063645050243","1166.2063645050243","1166.2063645050243"
"28599","181","181","181","1165.6625534888399","1165.6625534888399","1165.6625534888399"
"28657","182","182","182","1165.2114034923047","1165.2114034923047","1165.2114034923047"
"28711","183","183","183","1163.9313506792125","1163.9313506792125","1163.9313506792125"
"28769","184","184","184","1162.4349987063583","1162.4349987063583","1162.4349987063583"
"28825","185","185","185","1160.869869948072","1160.869869948072","1160.869869948072"
"28876","186","186","186","1157.978207996868","1157.978207996868","1157.978207996868"
"28929","187","187","187","975.5462522086408","975.5462522086408","975.5462522086408"
"28985","188","188","188","961.0004142495833","961.0004142495833","961.0004142495833"
"29544","189","189","189","941.2786954397352","941.2786954397352","941.2786954397352"
"29616","190","190","190","888.251535945529","888.251535945529","888.251535945529"
"29675","191","191","191","873.3235292782838","873.3235292782838","873.3235292782838"
"29733","192","192","192","587.2884925521848","587.2884925521848","587.2884925521848"
"29788","193","193","193","489.9446827453514","489.9446827453514","489.9446827453514"
"29840","194","194","194","428.0850781890255","428.0850781890255","428.0850781890255"
"29898","195","195","195","414.6528840441371","414.6528840441371","414.6528840441371"
"29959","196","196","196","410.83113456236043","410.83113456236043","410.83113456236043"
"30020","197","197","197","377.77964744107055","377.77964744107055","377.77964744107055"
"30080","198","198","198","367.03840991247847","367.03840991247847","367.03840991247847"
"30880","199","199","199","359.4132169509199","359.4132169509199","359.4132169509199"
"30988","200","200","200","346.4652456662955","346.4652456662955","346.4652456662955"
"31079","201","201","201","327.93542350266233","327.93542350266233","327.93542350266233"
"31155","202","202","202","296.78075730091166","296.78075730091166","296.78075730091166"
"31215","203","203","203","292.0317665091916","292.0317665091916","292.0317665091916"
"31273","204","204","204","291.1308042480776","291.1308042480776","291.1308042480776"
"31329","205","205","205","290.2040614699878","290.2040614699878","290.2040614699878"
"31387","206","206","206","290.5084753415513","290.5084753415513","290.5084753415513"
"31442","207","207","207","289.8868767053911","289.8868767053911","289.8868767053911"
"31496","208","208","208","289.69940853859754","289.69940853859754","289.69940853859754"
"31935","209","209","209","297.2460224257803","297.2460224257803","297.2460224257803"
"31998","210","210","210","289.73441138051726","289.73441138051726","289.73441138051726"
"32054","211","211","211","281.74240818023986","281.74240818023986","281.74240818023986"
"32105","212","212","212","281.0562487050158","281.0562487050158","281.0562487050158"
"32156","213","213","213","280.05868697255426","280.05868697255426","280.05868697255426"
"32209","214","214","214","279.3464485604917","279.3464485604917","279.3464485604917"
"32268","215","215","215","279.43267474005233","279.43267474005233","279.43267474005233"
"32324","216","216","216","279.4280383891429","279.4280383891429","279.4280383891429"
"32378","217","217","217","279.4625909894819","279.4625909894819","279.4625909894819"
"32431","218","218","218","279.5997413264541","279.5997413264541","279.5997413264541"
"33144","219","219","219","288.2851236176731","288.2851236176731","288.2851236176731"
"33396","220","220","220","301.62163910107944","301.62163910107944","301.62163910107944"
"33472","221","221","221","303.7713917036558","303.7713917036558","303.7713917036558"
"33534","222","222","222","303.98408276931025","303.98408276931025","303.98408276931025"
"33597","223","223","223","305.0232465877539","305.0232465877539","305.0232465877539"
"33659","224","224","224","304.3860334680222","304.3860334680222","304.3860334680222"
"33711","225","225","225","304.4368094472048","304.4368094472048","304.4368094472048"
"33763","226","226","226","303.7096405495047","303.7096405495047","303.7096405495047"
"33816","227","227","227","303.895545133979","303.895545133979","303.895545133979"
"33874","228","228","228","303.6677011908898","303.6677011908898","303.6677011908898"
"34002","229","229","229","298.9843951233064","298.9843951233064","298.9843951233064"
"34061","230","230","230","298.4031584372276","298.4031584372276","298.4031584372276"
"34113","231","231","231","298.1222236511058","298.1222236511058","298.1222236511058"
"34169","232","232","232","297.77472824840834","297.77472824840834","297.77472824840834"
"34226","233","233","233","298.13042166078515","298.13042166078515","298.13042166078515"
"34286","234","234","234","297.9953820707386","297.9953820707386","297.9953820707386"
"34343","235","235","235","298.25509906918734","298.25509906918734","298.25509906918734"
"34402","236","236","236","298.45312636458607","298.45312636458607","298.45312636458607"
"34452","237","237","237","298.501534370896","298.501534370896","298.501534370896"
"34501","238","238","238","297.9609267861579","297.9609267861579","297.9609267861579"
"34932","239","239","239","289.97326522310027","289.97326522310027","289.97326522310027"
"35003","240","240","240","289.62255922690883","289.62255922690883","289.62255922690883"
"35064","241","241","241","289.7597354474338","289.7597354474338","289.7597354474338"
"35117","242","242","242","289.6580357339442","289.6580357339442","289.6580357339442"
"35172","243","243","243","289.41591632734855","289.41591632734855","289.41591632734855"
"35232","244","244","244","289.95250147821775","289.95250147821775","289.95250147821775"
"35286","245","245","245","289.48036222825914","289.48036222825914","289.48036222825914"
"35344","246","246","246","289.5010589716252","289.5010589716252","289.5010589716252"
"35400","247","247","247","288.9544406229627","288.9544406229627","288.9544406229627"
"35453","248","248","248","288.8270244007056","288.8270244007056","288.8270244007056"
"35937","249","249","249","280.18427575401915","280.18427575401915","280.18427575401915"
"36001","250","250","250","275.35355001962535","275.35355001962535","275.35355001962535"
"36062","251","251","251","274.5270776483787","274.5270776483787","274.5270776483787"
"36120","252","252","252","274.11810146191186","274.11810146191186","274.11810146191186"
"36172","253","253","253","273.38681143704554","273.38681143704554","273.38681143704554"
"36224","254","254","254","273.53173689269084","273.53173689269084","273.53173689269084"
"36282","255","255","255","273.2365572444985","273.2365572444985","273.2365572444985"
"36339","256","256","256","273.5894625187913","273.5894625187913","273.5894625187913"
"36400","257","257","257","273.51356469953436","273.51356469953436","273.51356469953436"
"36455","258","258","258","273.8203051898243","273.8203051898243","273.8203051898243"
"36964","259","259","259","286.3535468258104","286.3535468258104","286.3535468258104"
"37024","260","260","260","286.18433246406096","286.18433246406096","286.18433246406096"
"37078","261","261","261","286.035084981346","286.035084981346","286.035084981346"
"37131","262","262","262","286.16399134926496","286.16399134926496","286.16399134926496"
"37180","263","263","263","286.03332599699223","286.03332599699223","286.03332599699223"
"37233","264","264","264","286.0731941297836","286.0731941297836","286.0731941297836"
"37289","265","265","265","285.767015734542","285.767015734542","285.767015734542"
"37343","266","266","266","285.70117557515334","285.70117557515334","285.70117557515334"
"37403","267","267","267","285.9884827064687","285.9884827064687","285.9884827064687"
"37457","268","268","268","286.03720521575264","286.03720521575264","286.03720521575264"
"38114","269","269","269","288.58111789499753","288.58111789499753","288.58111789499753"
"38964","270","270","270","328.2714775968368","328.2714775968368","328.2714775968368"
"39791","271","271","271","373.3562460922413","373.3562460922413","373.3562460922413"
"41490","272","272","272","485.2627020001247","485.2627020001247","485.2627020001247"
"41580","273","273","273","487.1282136205715","487.1282136205715","487.1282136205715"
"41642","274","274","274","487.6338852266796","487.6338852266796","487.6338852266796"
"41697","275","275","275","487.2989325520655","487.2989325520655","487.2989325520655"
"41754","276","276","276","488.12490765598625","488.12490765598625","488.12490765598625"
"41806","277","277","277","487.4957723992335","487.4957723992335","487.4957723992335"
"41857","278","278","278","487.76562108462645","487.76562108462645","487.76562108462645"
"42325","279","279","279","503.27555774609806","503.27555774609806","503.27555774609806"
"42857","280","280","280","536.7537906678723","536.7537906678723","536.7537906678723"
"42927","281","281","281","537.2442845575019","537.2442845575019","537.2442845575019"
"42990","282","282","282","538.006991669619","538.006991669619","538.006991669619"
"43055","283","283","283","538.2166901971635","538.2166901971635","538.2166901971635"
"43122","284","284","284","538.7730075536089","538.7730075536089","538.7730075536089"
"43182","285","285","285","538.8217257543956","538.8217257543956","538.8217257543956"
"43238","286","286","286","538.7220351399609","538.7220351399609","538.7220351399609"
"43291","287","287","287","538.8604709316623","538.8604709316623","538.8604709316623"
"43351","288","288","288","539.4348058505363","539.4348058505363","539.4348058505363"
"43736","289","289","289","536.1837878382347","536.1837878382347","536.1837878382347"
"43817","290","290","290","539.0548467260465","539.0548467260465","539.0548467260465"
"43883","291","291","291","538.8762108788646","538.8762108788646","538.8762108788646"
"43938","292","292","292","538.7523393545871","538.7523393545871","538.7523393545871"
"43988","293","293","293","539.1172284667274","539.1172284667274","539.1172284667274"
"44040","294","294","294","538.4476299555448","538.4476299555448","538.4476299555448"
"44096","295","295","295","539.0317505418832","539.0317505418832","539.0317505418832"
"44150","296","296","296","538.4701197699172","538.4701197699172","538.4701197699172"
"44205","297","297","297","538.9206548023641","538.9206548023641","538.9206548023641"
"44265","298","298","298","538.8284684195224","538.8284684195224","538.8284684195224"
"44429","299","299","299","513.5216075372077","513.5216075372077","513.5216075372077"
"44487","300","300","300","512.5037205809335","512.5037205809335","512.5037205809335"
"44549","301","301","301","513.2206513964289","513.2206513964289","513.2206513964289"
"44602","302","302","302","512.4891337930461","512.4891337930461","512.4891337930461"
"44652","303","303","303","512.7779396954438","512.7779396954438","512.7779396954438"
"44704","304","304","304","512.3768415439431","512.3768415439431","512.3768415439431"
"44757","305","305","305","512.5329782878893","512.5329782878893","512.5329782878893"
"44814","306","306","306","512.0531965688488","512.0531965688488","512.0531965688488"
"44880","307","307","307","512.8679755110052","512.8679755110052","512.8679755110052"
"44943","308","308","308","512.7683321591271","512.7683321591271","512.7683321591271"
"46277","309","309","309","562.1714153898148","562.1714153898148","562.1714153898148"
"47149","310","310","310","620.7514819699819","620.7514819699819","620.7514819699819"
"48899","311","311","311","728.8762115659462","728.8762115659462","728.8762115659462"
"49042","312","312","312","733.7223794670863","733.7223794670863","733.7223794670863"
"49101","313","313","313","734.5600725916318","734.5600725916318","734.5600725916318"
"49151","314","314","314","734.4907884583334","734.4907884583334","734.4907884583334"
"49198","315","315","315","734.2726780024773","734.2726780024773","734.2726780024773"
"49246","316","316","316","733.9293076845846","733.9293076845846","733.9293076845846"
"49296","317","317","317","733.4450868611639","733.4450868611639","733.4450868611639"
"49349","318","318","318","733.357765585645","733.357765585645","733.357765585645"
"49832","319","319","319","717.9145113992586","717.9145113992586","717.9145113992586"
"50020","320","320","320","670.7438618768666","670.7438618768666","670.7438618768666"
"51067","321","321","321","695.4668840469582","695.4668840469582","695.4668840469582"
"51139","322","322","322","584.4244579789193","584.4244579789193","584.4244579789193"
"51206","323","323","323","583.210534441329","583.210534441329","583.210534441329"
"51263","324","324","324","582.4102291232796","582.4102291232796","582.4102291232796"
"51315","325","325","325","582.6330081323413","582.6330081323413","582.6330081323413"
"51369","326","326","326","581.9413484872533","581.9413484872533","581.9413484872533"
"51422","327","327","327","582.3705293676808","582.3705293676808","582.3705293676808"
"51478","328","328","328","582.2091260717406","582.2091260717406","582.2091260717406"
"51761","329","329","329","575.7877865379025","575.7877865379025","575.7877865379025"
"51826","330","330","330","542.7038511042426","542.7038511042426","542.7038511042426"
"51896","331","331","331","542.8254107580109","542.8254107580109","542.8254107580109"
"51961","332","332","332","542.5627164679124","542.5627164679124","542.5627164679124"
"52026","333","333","333","542.6463608499125","542.6463608499125","542.6463608499125"
"52093","334","334","334","542.449223449945","542.449223449945","542.449223449945"
"52166","335","335","335","543.0381964497283","543.0381964497283","543.0381964497283"
"52237","336","336","336","543.770399405696","543.770399405696","543.770399405696"
"52296","337","337","337","544.0261784311643","544.0261784311643","544.0261784311643"
"52355","338","338","338","544.0105602907792","544.0105602907792","544.0105602907792"
"52486","339","339","339","529.2707201507775","529.2707201507775","529.2707201507775"
"52554","340","340","340","526.5501054919393","526.5501054919393","526.5501054919393"
"52606","341","341","341","526.2555932789968","526.2555932789968","526.2555932789968"
"52660","342","342","342","526.3000877332853","526.3000877332853","526.3000877332853"
"52714","343","343","343","526.2007686806505","526.2007686806505","526.2007686806505"
"52766","344","344","344","526.2643646347475","526.2643646347475","526.2643646347475"
"52819","345","345","345","525.969288421185","525.969288421185","525.969288421185"
"52877","346","346","346","526.2106774214946","526.2106774214946","526.2106774214946"
"52942","347","347","347","526.5756880995872","526.5756880995872","526.5756880995872"
"52998","348","348","348","526.5337503615049","526.5337503615049","526.5337503615049"
"55397","349","349","349","694.1626917337552","694.1626917337552","694.1626917337552"
"56277","350","350","350","754.9072439123519","754.9072439123519","754.9072439123519"
"56855","351","351","351","794.0026149182562","794.0026149182562","794.0026149182562"
"57647","352","352","352","838.4870911641026","838.4870911641026","838.4870911641026"
"58387","353","353","353","882.5726056598244","882.5726056598244","882.5726056598244"
"58633","354","354","354","891.3265989245477","891.3265989245477","891.3265989245477"
"59609","355","355","355","962.6379015192978","962.6379015192978","962.6379015192978"
"59672","356","356","356","963.1511309520131","963.1511309520131","963.1511309520131"
"59732","357","357","357","962.5462825554339","962.5462825554339","962.5462825554339"
"59785","358","358","358","962.7844639528047","962.7844639528047","962.7844639528047"
"60595","359","359","359","933.2036060726001","933.2036060726001","933.2036060726001"
"60692","360","360","360","876.3211531866431","876.3211531866431","876.3211531866431"
"60752","361","361","361","768.8996026932633","768.8996026932633","768.8996026932633"
"60806","362","362","362","763.4096053508381","763.4096053508381","763.4096053508381"
"60856","363","363","363","763.1674783576706","763.1674783576706","763.1674783576706"
"60903","364","364","364","762.3445235527921","762.3445235527921","762.3445235527921"
"60956","365","365","365","763.2798379312351","763.2798379312351","763.2798379312351"
"61013","366","366","366","763.2645205678875","763.2645205678875","763.2645205678875"
"61069","367","367","367","764.0208652822791","764.0208652822791","764.0208652822791"
"61123","368","368","368","763.6873124928286","763.6873124928286","763.6873124928286"
"61260","369","369","369","743.682925761523","743.682925761523","743.682925761523"
"61324","370","370","370","736.9022043812547","736.9022043812547","736.9022043812547"
"61381","371","371","371","665.4030946952012","665.4030946952012","665.4030946952012"
"61438","372","372","372","664.0259396193642","664.0259396193642","664.0259396193642"
"61499","373","373","373","663.2083891306106","663.2083891306106","663.2083891306106"
"61551","374","374","374","663.0741318526643","663.0741318526643","663.0741318526643"
"61603","375","375","375","663.0974941169662","663.0974941169662","663.0974941169662"
"61658","376","376","376","663.1087322110907","663.1087322110907","663.1087322110907"
