"step_idx","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - _step__MAX","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###__MIN","3_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_win - ### EVERY TRAIN EPISODE REWARDS ###__MAX"
"5776","80","80","80","173.69165229259482","173.69165229259482","173.69165229259482"
"5839","81","81","81","161.5647038952567","161.5647038952567","161.5647038952567"
"5897","82","82","82","143.5325992021391","143.5325992021391","143.5325992021391"
"5955","83","83","83","150.19338453484158","150.19338453484158","150.19338453484158"
"6014","84","84","84","144.50303051927136","144.50303051927136","144.50303051927136"
"6081","85","85","85","170.55104294206154","170.55104294206154","170.55104294206154"
"6148","86","86","86","167.00138775865975","167.00138775865975","167.00138775865975"
"6209","87","87","87","148.98462611622827","148.98462611622827","148.98462611622827"
"6271","88","88","88","157.0209626787164","157.0209626787164","157.0209626787164"
"6363","89","89","89","214.5576857941124","214.5576857941124","214.5576857941124"
"6424","90","90","90","143.75799502297025","143.75799502297025","143.75799502297025"
"6483","91","91","91","154.91968424495093","154.91968424495093","154.91968424495093"
"6539","92","92","92","136.47394956908244","136.47394956908244","136.47394956908244"
"6593","93","93","93","137.05706374308068","137.05706374308068","137.05706374308068"
"6648","94","94","94","140.76955152457427","140.76955152457427","140.76955152457427"
"6709","95","95","95","157.56995216319126","157.56995216319126","157.56995216319126"
"6768","96","96","96","146.34968004626987","146.34968004626987","146.34968004626987"
"6821","97","97","97","136.45254393673702","136.45254393673702","136.45254393673702"
"6882","98","98","98","153.19473370016863","153.19473370016863","153.19473370016863"
"6979","99","99","99","233.97499687520298","233.97499687520298","233.97499687520298"
"7047","100","100","100","156.56011901753865","156.56011901753865","156.56011901753865"
"7101","101","101","101","134.79210983570962","134.79210983570962","134.79210983570962"
"7152","102","102","102","131.62193654054013","131.62193654054013","131.62193654054013"
"7201","103","103","103","121.20140696445117","121.20140696445117","121.20140696445117"
"7251","104","104","104","128.75917578237403","128.75917578237403","128.75917578237403"
"7304","105","105","105","133.35240241336837","133.35240241336837","133.35240241336837"
"7358","106","106","106","138.74971388784988","138.74971388784988","138.74971388784988"
"7412","107","107","107","135.66890280320013","135.66890280320013","135.66890280320013"
"7470","108","108","108","145.93864732111626","145.93864732111626","145.93864732111626"
"7556","109","109","109","198.1332451447698","198.1332451447698","198.1332451447698"
"7622","110","110","110","173.1964443326177","173.1964443326177","173.1964443326177"
"7674","111","111","111","133.1968338461705","133.1968338461705","133.1968338461705"
"7729","112","112","112","160.5940525654222","160.5940525654222","160.5940525654222"
"7783","113","113","113","130.04252177959964","130.04252177959964","130.04252177959964"
"7843","114","114","114","171.4659236675204","171.4659236675204","171.4659236675204"
"7896","115","115","115","126.51739138471194","126.51739138471194","126.51739138471194"
"7950","116","116","116","145.9420156349454","145.9420156349454","145.9420156349454"
"8001","117","117","117","119.60285368768434","119.60285368768434","119.60285368768434"
"8048","118","118","118","126.45033317144485","126.45033317144485","126.45033317144485"
"8134","119","119","119","203.45656147604427","203.45656147604427","203.45656147604427"
"8203","120","120","120","171.80257252526556","171.80257252526556","171.80257252526556"
"8266","121","121","121","157.0836640443414","157.0836640443414","157.0836640443414"
"8331","122","122","122","164.93776616084355","164.93776616084355","164.93776616084355"
"8393","123","123","123","150.61461367740156","150.61461367740156","150.61461367740156"
"8447","124","124","124","138.4780222790877","138.4780222790877","138.4780222790877"
"8505","125","125","125","138.14040037635513","138.14040037635513","138.14040037635513"
"8561","126","126","126","147.48033301722057","147.48033301722057","147.48033301722057"
"8615","127","127","127","127.133519346551","127.133519346551","127.133519346551"
"8670","128","128","128","146.08636102654822","146.08636102654822","146.08636102654822"
"8759","129","129","129","208.33202112597732","208.33202112597732","208.33202112597732"
"8825","130","130","130","156.1855984231922","156.1855984231922","156.1855984231922"
"8888","131","131","131","169.86411687549378","169.86411687549378","169.86411687549378"
"8968","132","132","132","179.6519464733183","179.6519464733183","179.6519464733183"
"9042","133","133","133","189.5302801714968","189.5302801714968","189.5302801714968"
"9140","134","134","134","230.55808549913473","230.55808549913473","230.55808549913473"
"9216","135","135","135","207.48478470723654","207.48478470723654","207.48478470723654"
"9344","136","136","136","283.44975199637213","283.44975199637213","283.44975199637213"
"12638","137","137","137","9241.951278844894","9241.951278844894","9241.951278844894"
"13043","138","138","138","881.2675759253128","881.2675759253128","881.2675759253128"
"13964","139","139","139","2680.0800243909066","2680.0800243909066","2680.0800243909066"
"14882","140","140","140","2809.6755319735876","2809.6755319735876","2809.6755319735876"
"15175","141","141","141","904.3143700757153","904.3143700757153","904.3143700757153"
"19812","142","142","142","14439.054647776004","14439.054647776004","14439.054647776004"
"21414","143","143","143","5012.7498231757845","5012.7498231757845","5012.7498231757845"
"22514","144","144","144","3217.7717169411717","3217.7717169411717","3217.7717169411717"
"22807","145","145","145","825.1928904277962","825.1928904277962","825.1928904277962"
"22919","146","146","146","339.48297259548895","339.48297259548895","339.48297259548895"
"23481","147","147","147","1810.221161734971","1810.221161734971","1810.221161734971"
"23685","148","148","148","683.7987515415323","683.7987515415323","683.7987515415323"
"24530","149","149","149","2466.1640994462637","2466.1640994462637","2466.1640994462637"
"24953","150","150","150","1074.6594722286436","1074.6594722286436","1074.6594722286436"
"25204","151","151","151","1099.7366225599515","1099.7366225599515","1099.7366225599515"
"25785","152","152","152","1736.702279577578","1736.702279577578","1736.702279577578"
"25906","153","153","153","394.9342004950383","394.9342004950383","394.9342004950383"
"25980","154","154","154","179.01865631339967","179.01865631339967","179.01865631339967"
"26048","155","155","155","195.79790588409062","195.79790588409062","195.79790588409062"
"26116","156","156","156","122.62742139799012","122.62742139799012","122.62742139799012"
"26183","157","157","157","177.08271981395146","177.08271981395146","177.08271981395146"
"26245","158","158","158","140.8851996766901","140.8851996766901","140.8851996766901"
"26474","159","159","159","744.3356698717181","744.3356698717181","744.3356698717181"
"26695","160","160","160","555.9486872716438","555.9486872716438","555.9486872716438"
"26869","161","161","161","534.1547451391627","534.1547451391627","534.1547451391627"
"26948","162","162","162","173.98491966864822","173.98491966864822","173.98491966864822"
"27016","163","163","163","169.5978842326738","169.5978842326738","169.5978842326738"
"27085","164","164","164","180.3277981033896","180.3277981033896","180.3277981033896"
"27147","165","165","165","137.22993802862874","137.22993802862874","137.22993802862874"
"27204","166","166","166","152.2372681613792","152.2372681613792","152.2372681613792"
"27256","167","167","167","123.2904691663468","123.2904691663468","123.2904691663468"
"27308","168","168","168","139.2775751322874","139.2775751322874","139.2775751322874"
"27740","169","169","169","1569.7469256273594","1569.7469256273594","1569.7469256273594"
"27804","170","170","170","182.56721239804963","182.56721239804963","182.56721239804963"
"27862","171","171","171","129.55570944967374","129.55570944967374","129.55570944967374"
"27914","172","172","172","146.62836640575847","146.62836640575847","146.62836640575847"
"27968","173","173","173","117.74326442824893","117.74326442824893","117.74326442824893"
"28031","174","174","174","177.8625322393891","177.8625322393891","177.8625322393891"
"28092","175","175","175","138.9537110729942","138.9537110729942","138.9537110729942"
"28150","176","176","176","160.6805736262003","160.6805736262003","160.6805736262003"
"28208","177","177","177","131.1512798799564","131.1512798799564","131.1512798799564"
"28263","178","178","178","150.09874287478522","150.09874287478522","150.09874287478522"
"28476","179","179","179","621.6343372139304","621.6343372139304","621.6343372139304"
"28537","180","180","180","179.6023267391753","179.6023267391753","179.6023267391753"
"28599","181","181","181","142.67356606627766","142.67356606627766","142.67356606627766"
"28657","182","182","182","157.094446646559","157.094446646559","157.094446646559"
"28711","183","183","183","125.52763951688001","125.52763951688001","125.52763951688001"
"28769","184","184","184","155.74048685643277","155.74048685643277","155.74048685643277"
"28825","185","185","185","129.2283467929147","129.2283467929147","129.2283467929147"
"28876","186","186","186","138.86665443617034","138.86665443617034","138.86665443617034"
"28929","187","187","187","120.35348943353617","120.35348943353617","120.35348943353617"
"28985","188","188","188","153.97567797243286","153.97567797243286","153.97567797243286"
"29544","189","189","189","1693.9940838985078","1693.9940838985078","1693.9940838985078"
"29616","190","190","190","158.31755726328444","158.31755726328444","158.31755726328444"
"29675","191","191","191","157.91403671345375","157.91403671345375","157.91403671345375"
"29733","192","192","192","137.30281147105057","137.30281147105057","137.30281147105057"
"29788","193","193","193","145.55933283411443","145.55933283411443","145.55933283411443"
"29840","194","194","194","124.79148912487913","124.79148912487913","124.79148912487913"
"29898","195","195","195","153.583183183373","153.583183183373","153.583183183373"
"29959","196","196","196","148.39549850665514","148.39549850665514","148.39549850665514"
"30020","197","197","197","157.64680567047898","157.64680567047898","157.64680567047898"
"30080","198","198","198","146.73687511192546","146.73687511192546","146.73687511192546"
"30880","199","199","199","2084.9044513683366","2084.9044513683366","2084.9044513683366"
"30988","200","200","200","427.2609079974232","427.2609079974232","427.2609079974232"
"31079","201","201","201","173.2455143782909","173.2455143782909","173.2455143782909"
"31155","202","202","202","178.96896949004733","178.96896949004733","178.96896949004733"
"31215","203","203","203","157.48466090903335","157.48466090903335","157.48466090903335"
"31273","204","204","204","133.97054325770387","133.97054325770387","133.97054325770387"
"31329","205","205","205","149.46076697959683","149.46076697959683","149.46076697959683"
"31387","206","206","206","137.84811497616528","137.84811497616528","137.84811497616528"
"31442","207","207","207","146.0027880059429","146.0027880059429","146.0027880059429"
"31496","208","208","208","131.51179133701413","131.51179133701413","131.51179133701413"
"31935","209","209","209","1121.666364230854","1121.666364230854","1121.666364230854"
"31998","210","210","210","180.36813500849084","180.36813500849084","180.36813500849084"
"32054","211","211","211","134.5545851252926","134.5545851252926","134.5545851252926"
"32105","212","212","212","139.67694590744327","139.67694590744327","139.67694590744327"
"32156","213","213","213","119.71979760959852","119.71979760959852","119.71979760959852"
"32209","214","214","214","144.71587750026185","144.71587750026185","144.71587750026185"
"32268","215","215","215","141.54124700665827","141.54124700665827","141.54124700665827"
"32324","216","216","216","152.0054506159101","152.0054506159101","152.0054506159101"
"32378","217","217","217","125.01809918329414","125.01809918329414","125.01809918329414"
"32431","218","218","218","146.13509198089682","146.13509198089682","146.13509198089682"
"33144","219","219","219","2004.016040188311","2004.016040188311","2004.016040188311"
"33396","220","220","220","849.392986568367","849.392986568367","849.392986568367"
"33472","221","221","221","237.04333957849104","237.04333957849104","237.04333957849104"
"33534","222","222","222","157.2629196884803","157.2629196884803","157.2629196884803"
"33597","223","223","223","169.70145535043056","169.70145535043056","169.70145535043056"
"33659","224","224","224","146.001876252807","146.001876252807","146.001876252807"
"33711","225","225","225","141.49251003212174","141.49251003212174","141.49251003212174"
"33763","226","226","226","124.32212874119556","124.32212874119556","124.32212874119556"
"33816","227","227","227","140.44650910367204","140.44650910367204","140.44650910367204"
"33874","228","228","228","138.70654572032518","138.70654572032518","138.70654572032518"
"34002","229","229","229","387.46903383476024","387.46903383476024","387.46903383476024"
"34061","230","230","230","150.54049243523664","150.54049243523664","150.54049243523664"
"34113","231","231","231","128.62682676018778","128.62682676018778","128.62682676018778"
"34169","232","232","232","139.71967651168546","139.71967651168546","139.71967651168546"
"34226","233","233","233","143.31231013572034","143.31231013572034","143.31231013572034"
"34286","234","234","234","148.98850735410625","148.98850735410625","148.98850735410625"
"34343","235","235","235","142.21419671535233","142.21419671535233","142.21419671535233"
"34402","236","236","236","148.76801920610797","148.76801920610797","148.76801920610797"
"34452","237","237","237","122.77388974903383","122.77388974903383","122.77388974903383"
"34501","238","238","238","126.94529873552908","126.94529873552908","126.94529873552908"
"34932","239","239","239","1294.6110057456233","1294.6110057456233","1294.6110057456233"
"35003","240","240","240","140.78225745371319","140.78225745371319","140.78225745371319"
"35064","241","241","241","164.77284773969944","164.77284773969944","164.77284773969944"
"35117","242","242","242","132.2178257965691","132.2178257965691","132.2178257965691"
"35172","243","243","243","133.45336250433581","133.45336250433581","133.45336250433581"
"35232","244","244","244","151.62074666833968","151.62074666833968","151.62074666833968"
"35286","245","245","245","129.97622068544348","129.97622068544348","129.97622068544348"
"35344","246","246","246","149.43033567495536","149.43033567495536","149.43033567495536"
"35400","247","247","247","130.31588823735572","130.31588823735572","130.31588823735572"
"35453","248","248","248","140.36606399907095","140.36606399907095","140.36606399907095"
"35937","249","249","249","1652.7670190340136","1652.7670190340136","1652.7670190340136"
"36001","250","250","250","185.72462127773198","185.72462127773198","185.72462127773198"
"36062","251","251","251","131.92189581595542","131.92189581595542","131.92189581595542"
"36120","252","252","252","158.5201601667069","158.5201601667069","158.5201601667069"
"36172","253","253","253","120.92015966571903","120.92015966571903","120.92015966571903"
"36224","254","254","254","141.21681603996848","141.21681603996848","141.21681603996848"
"36282","255","255","255","134.70178456997743","134.70178456997743","134.70178456997743"
"36339","256","256","256","155.49337869080824","155.49337869080824","155.49337869080824"
"36400","257","257","257","142.20789704309357","142.20789704309357","142.20789704309357"
"36455","258","258","258","146.84881585150967","146.84881585150967","146.84881585150967"
"36964","259","259","259","1748.328446030161","1748.328446030161","1748.328446030161"
"37024","260","260","260","171.90741692101912","171.90741692101912","171.90741692101912"
"37078","261","261","261","127.09221098954178","127.09221098954178","127.09221098954178"
"37131","262","262","262","146.122264303392","146.122264303392","146.122264303392"
"37180","263","263","263","113.18652999596449","113.18652999596449","113.18652999596449"
"37233","264","264","264","146.70928413983054","146.70928413983054","146.70928413983054"
"37289","265","265","265","126.23232724457654","126.23232724457654","126.23232724457654"
"37343","266","266","266","148.7134426464772","148.7134426464772","148.7134426464772"
"37403","267","267","267","139.38345574906265","139.38345574906265","139.38345574906265"
"37457","268","268","268","148.57121744509288","148.57121744509288","148.57121744509288"
"38114","269","269","269","2131.211674150558","2131.211674150558","2131.211674150558"
"38964","270","270","270","2833.9109716603284","2833.9109716603284","2833.9109716603284"
"39791","271","271","271","2491.2817643487156","2491.2817643487156","2491.2817643487156"
"41490","272","272","272","5752.585715082654","5752.585715082654","5752.585715082654"
"41580","273","273","273","262.9770363727659","262.9770363727659","262.9770363727659"
"41642","274","274","274","171.28545655820957","171.28545655820957","171.28545655820957"
"41697","275","275","275","124.74487630141795","124.74487630141795","124.74487630141795"
"41754","276","276","276","165.62088393723687","165.62088393723687","165.62088393723687"
"41806","277","277","277","108.98974626603034","108.98974626603034","108.98974626603034"
"41857","278","278","278","152.19897998997592","152.19897998997592","152.19897998997592"
"42325","279","279","279","1162.9658669083415","1162.9658669083415","1162.9658669083415"
"42857","280","280","280","1824.4521385239493","1824.4521385239493","1824.4521385239493"
"42927","281","281","281","153.15152124166548","153.15152124166548","153.15152124166548"
"42990","282","282","282","177.85503211753428","177.85503211753428","177.85503211753428"
"43055","283","283","283","153.79723651295723","153.79723651295723","153.79723651295723"
"43122","284","284","284","176.8043751763738","176.8043751763738","176.8043751763738"
"43182","285","285","285","144.65010675469296","144.65010675469296","144.65010675469296"
"43238","286","286","286","143.78348848436573","143.78348848436573","143.78348848436573"
"43291","287","287","287","129.6956793341083","129.6956793341083","129.6956793341083"
"43351","288","288","288","155.6620446792302","155.6620446792302","155.6620446792302"
"43736","289","289","289","1132.060105130541","1132.060105130541","1132.060105130541"
"43817","290","290","290","284.335201844302","284.335201844302","284.335201844302"
"43883","291","291","291","155.84105538059856","155.84105538059856","155.84105538059856"
"43938","292","292","292","126.02424958269702","126.02424958269702","126.02424958269702"
"43988","293","293","293","151.69781811135095","151.69781811135095","151.69781811135095"
"44040","294","294","294","118.14082110921275","118.14082110921275","118.14082110921275"
"44096","295","295","295","159.1822500023609","159.1822500023609","159.1822500023609"
"44150","296","296","296","121.3487970766588","121.3487970766588","121.3487970766588"
"44205","297","297","297","152.84263985969594","152.84263985969594","152.84263985969594"
"44265","298","298","298","135.7567448569864","135.7567448569864","135.7567448569864"
"44429","299","299","299","387.4239749182833","387.4239749182833","387.4239749182833"
"44487","300","300","300","134.8302734640263","134.8302734640263","134.8302734640263"
"44549","301","301","301","167.76843659071724","167.76843659071724","167.76843659071724"
"44602","302","302","302","121.94427999756857","121.94427999756857","121.94427999756857"
"44652","303","303","303","135.36045478560362","135.36045478560362","135.36045478560362"
"44704","304","304","304","121.1619084649351","121.1619084649351","121.1619084649351"
"44757","305","305","305","142.50862176728435","142.50862176728435","142.50862176728435"
"44814","306","306","306","131.50429273878726","131.50429273878726","131.50429273878726"
"44880","307","307","307","182.94684415090813","182.94684415090813","182.94684415090813"
"44943","308","308","308","141.86664825760363","141.86664825760363","141.86664825760363"
"46277","309","309","309","4218.482607564549","4218.482607564549","4218.482607564549"
"47149","310","310","310","3100.9107459293764","3100.9107459293764","3100.9107459293764"
"48899","311","311","311","5533.328690787753","5533.328690787753","5533.328690787753"
"49042","312","312","312","388.43065936039517","388.43065936039517","388.43065936039517"
"49101","313","313","313","155.07118622324353","155.07118622324353","155.07118622324353"
"49151","314","314","314","143.24507747491467","143.24507747491467","143.24507747491467"
"49198","315","315","315","115.32680445177103","115.32680445177103","115.32680445177103"
"49246","316","316","316","131.54492675184088","131.54492675184088","131.54492675184088"
"49296","317","317","317","115.17241457802133","115.17241457802133","115.17241457802133"
"49349","318","318","318","144.20515366914478","144.20515366914478","144.20515366914478"
"49832","319","319","319","1359.0489648312505","1359.0489648312505","1359.0489648312505"
"50020","320","320","320","475.3784955407258","475.3784955407258","475.3784955407258"
"51067","321","321","321","3727.4328728532855","3727.4328728532855","3727.4328728532855"
"51139","322","322","322","200.46441168071877","200.46441168071877","200.46441168071877"
"51206","323","323","323","202.2808594932417","202.2808594932417","202.2808594932417"
"51263","324","324","324","131.27019065573984","131.27019065573984","131.27019065573984"
"51315","325","325","325","135.88382675450555","135.88382675450555","135.88382675450555"
"51369","326","326","326","131.03790168283297","131.03790168283297","131.03790168283297"
"51422","327","327","327","130.44879028740576","130.44879028740576","130.44879028740576"
"51478","328","328","328","144.12881519296883","144.12881519296883","144.12881519296883"
"51761","329","329","329","841.8988902164425","841.8988902164425","841.8988902164425"
"51826","330","330","330","170.2553668409578","170.2553668409578","170.2553668409578"
"51896","331","331","331","159.22950393007218","159.22950393007218","159.22950393007218"
"51961","332","332","332","164.72031761261633","164.72031761261633","164.72031761261633"
"52026","333","333","333","157.97945561295688","157.97945561295688","157.97945561295688"
"52093","334","334","334","166.94750517800145","166.94750517800145","166.94750517800145"
"52166","335","335","335","174.0987567438561","174.0987567438561","174.0987567438561"
"52237","336","336","336","180.3936362827538","180.3936362827538","180.3936362827538"
"52296","337","337","337","142.48463060752024","142.48463060752024","142.48463060752024"
"52355","338","338","338","154.88113765996937","154.88113765996937","154.88113765996937"
"52486","339","339","339","395.06809813045976","395.06809813045976","395.06809813045976"
"52554","340","340","340","148.30446890239114","148.30446890239114","148.30446890239114"
"52606","341","341","341","141.1154447334784","141.1154447334784","141.1154447334784"
"52660","342","342","342","128.2489722971194","128.2489722971194","128.2489722971194"
"52714","343","343","343","146.73186547961365","146.73186547961365","146.73186547961365"
"52766","344","344","344","121.32061881406133","121.32061881406133","121.32061881406133"
"52819","345","345","345","144.4284393242311","144.4284393242311","144.4284393242311"
"52877","346","346","346","133.4182470921389","133.4182470921389","133.4182470921389"
"52942","347","347","347","171.0931737643278","171.0931737643278","171.0931737643278"
"52998","348","348","348","133.6598579528658","133.6598579528658","133.6598579528658"
"55397","349","349","349","8768.871043530804","8768.871043530804","8768.871043530804"
"56277","350","350","350","3172.057882393865","3172.057882393865","3172.057882393865"
"56855","351","351","351","2122.5369868859257","2122.5369868859257","2122.5369868859257"
"57647","352","352","352","2346.1680922898954","2346.1680922898954","2346.1680922898954"
"58387","353","353","353","2339.6361795716884","2339.6361795716884","2339.6361795716884"
"58633","354","354","354","558.8615717011045","558.8615717011045","558.8615717011045"
"59609","355","355","355","3708.0737515047877","3708.0737515047877","3708.0737515047877"
"59672","356","356","356","157.16576437455691","157.16576437455691","157.16576437455691"
"59732","357","357","357","152.70442432194127","152.70442432194127","152.70442432194127"
"59785","358","358","358","153.7757181261401","153.7757181261401","153.7757181261401"
"60595","359","359","359","2739.4397135543286","2739.4397135543286","2739.4397135543286"
"60692","360","360","360","256.7881016315281","256.7881016315281","256.7881016315281"
"60752","361","361","361","162.2511661187568","162.2511661187568","162.2511661187568"
"60806","362","362","362","113.93079223912791","113.93079223912791","113.93079223912791"
"60856","363","363","363","142.96483656487345","142.96483656487345","142.96483656487345"
