"step_idx","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MIN","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MAX","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MIN","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - train mean (50 episode rewards)__MAX"
"682","0","0","0","1459.4051874223792","1459.4051874223792","1459.4051874223792"
"781","1","1","1","818.2433648801166","818.2433648801166","818.2433648801166"
"861","2","2","2","616.6367372892147","616.6367372892147","616.6367372892147"
"941","3","3","3","509.67684382978007","509.67684382978007","509.67684382978007"
"1002","4","4","4","438.9184435340253","438.9184435340253","438.9184435340253"
"1059","5","5","5","389.0664458611459","389.0664458611459","389.0664458611459"
"1110","6","6","6","352.221384045319","352.221384045319","352.221384045319"
"1166","7","7","7","325.1877344539347","325.1877344539347","325.1877344539347"
"1224","8","8","8","305.79063646976675","305.79063646976675","305.79063646976675"
"1324","9","9","9","297.7436234765651","297.7436234765651","297.7436234765651"
"1385","10","10","10","283.89134890496035","283.89134890496035","283.89134890496035"
"1444","11","11","11","272.7165645514195","272.7165645514195","272.7165645514195"
"1502","12","12","12","262.81731704903245","262.81731704903245","262.81731704903245"
"1561","13","13","13","254.82190826660948","254.82190826660948","254.82190826660948"
"1620","14","14","14","247.3602805424715","247.3602805424715","247.3602805424715"
"1678","15","15","15","241.18443149483664","241.18443149483664","241.18443149483664"
"1728","16","16","16","234.28035428978285","234.28035428978285","234.28035428978285"
"1781","17","17","17","228.98981936580705","228.98981936580705","228.98981936580705"
"1841","18","18","18","224.54023428786317","224.54023428786317","224.54023428786317"
"1946","19","19","19","225.26567750886133","225.26567750886133","225.26567750886133"
"2005","20","20","20","221.10143479760262","221.10143479760262","221.10143479760262"
"2069","21","21","21","218.6988128920316","218.6988128920316","218.6988128920316"
"2140","22","22","22","216.4434320470227","216.4434320470227","216.4434320470227"
"2205","23","23","23","214.44156129047664","214.44156129047664","214.44156129047664"
"2270","24","24","24","212.03309516335628","212.03309516335628","212.03309516335628"
"2332","25","25","25","210.08766656933403","210.08766656933403","210.08766656933403"
"2389","26","26","26","207.46287674531646","207.46287674531646","207.46287674531646"
