"step_idx","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step__MIN","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step__MAX","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)__MIN","9_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)__MAX"
"405","0","0","0","673.4257774663691","673.4257774663691","673.4257774663691"
"2919","1","1","1","3649.788103501483","3649.788103501483","3649.788103501483"
"3002","2","2","2","2511.849738613382","2511.849738613382","2511.849738613382"
"3316","3","3","3","2090.1058291151567","2090.1058291151567","2090.1058291151567"
"3406","4","4","4","1733.567652662149","1733.567652662149","1733.567652662149"
"3480","5","5","5","1470.6449942856973","1470.6449942856973","1470.6449942856973"
"3548","6","6","6","1284.678979591777","1284.678979591777","1284.678979591777"
"3611","7","7","7","1144.491979353437","1144.491979353437","1144.491979353437"
"3679","8","8","8","1034.5662112627094","1034.5662112627094","1034.5662112627094"
"3989","9","9","9","1025.5460091101672","1025.5460091101672","1025.5460091101672"
"4105","10","10","10","966.1333833070432","966.1333833070432","966.1333833070432"
"4322","11","11","11","937.2738322695544","937.2738322695544","937.2738322695544"
"4400","12","12","12","884.6377302764342","884.6377302764342","884.6377302764342"
"4463","13","13","13","831.674067123942","831.674067123942","831.674067123942"
"4518","14","14","14","787.2882126550634","787.2882126550634","787.2882126550634"
"4573","15","15","15","745.9139510254781","745.9139510254781","745.9139510254781"
"4627","16","16","16","711.1524010083491","711.1524010083491","711.1524010083491"
"4682","17","17","17","678.6240455200402","678.6240455200402","678.6240455200402"
"4737","18","18","18","650.6920842476669","650.6920842476669","650.6920842476669"
"4834","19","19","19","629.3199686817205","629.3199686817205","629.3199686817205"
"4897","20","20","20","606.7921697972686","606.7921697972686","606.7921697972686"
"4959","21","21","21","586.429224548698","586.429224548698","586.429224548698"
