"step_idx","23_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step","23_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step__MIN","23_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - _step__MAX","23_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)","23_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)__MIN","23_Pendulum_Matlab_Double_RIP_v0_AgentTD3_DeterministicContinuousActorCriticModel_imac - train mean (50 episode rewards)__MAX"
"750","0","0","0","1128.2790735223311","1128.2790735223311","1128.2790735223311"
"838","1","1","1","666.530507683116","666.530507683116","666.530507683116"
"914","2","2","2","504.4751654197575","504.4751654197575","504.4751654197575"
"974","3","3","3","416.50502879137497","416.50502879137497","416.50502879137497"
"1033","4","4","4","362.1727400630618","362.1727400630618","362.1727400630618"
"1088","5","5","5","325.3622595603912","325.3622595603912","325.3622595603912"
"1143","6","6","6","298.685404567145","298.685404567145","298.685404567145"
"1205","7","7","7","280.7147674995252","280.7147674995252","280.7147674995252"
"1270","8","8","8","267.9316031211899","267.9316031211899","267.9316031211899"
"1595","9","9","9","316.3859514248285","316.3859514248285","316.3859514248285"
"2071","10","10","10","417.6663144893473","417.6663144893473","417.6663144893473"
"2319","11","11","11","447.0264010643218","447.0264010643218","447.0264010643218"
"2600","12","12","12","473.76885253445005","473.76885253445005","473.76885253445005"
"2678","13","13","13","457.22878261766016","457.22878261766016","457.22878261766016"
"2766","14","14","14","441.9155430536566","441.9155430536566","441.9155430536566"
"2834","15","15","15","425.01473529258567","425.01473529258567","425.01473529258567"
"2914","16","16","16","411.332419824968","411.332419824968","411.332419824968"
"2986","17","17","17","397.9770715424308","397.9770715424308","397.9770715424308"
"3070","18","18","18","388.6046641820752","388.6046641820752","388.6046641820752"
"3272","19","19","19","387.71574678095925","387.71574678095925","387.71574678095925"
"3328","20","20","20","375.1873573858361","375.1873573858361","375.1873573858361"
"3389","21","21","21","365.940108135366","365.940108135366","365.940108135366"
"3444","22","22","22","355.4684224499629","355.4684224499629","355.4684224499629"
"3498","23","23","23","346.78164418250077","346.78164418250077","346.78164418250077"
"3555","24","24","24","338.2356850921648","338.2356850921648","338.2356850921648"
"3616","25","25","25","331.6702734730092","331.6702734730092","331.6702734730092"
"3676","26","26","26","324.4610636956371","324.4610636956371","324.4610636956371"
"3740","27","27","27","319.0166117670481","319.0166117670481","319.0166117670481"
"3797","28","28","28","312.68696220262507","312.68696220262507","312.68696220262507"
"3895","29","29","29","309.37918572559227","309.37918572559227","309.37918572559227"
"3964","30","30","30","304.8015944541632","304.8015944541632","304.8015944541632"
"4023","31","31","31","300.06355017408134","300.06355017408134","300.06355017408134"
"4075","32","32","32","294.8246583561658","294.8246583561658","294.8246583561658"
"4129","33","33","33","290.2279289213141","290.2279289213141","290.2279289213141"
"4187","34","34","34","285.9801043022656","285.9801043022656","285.9801043022656"
"4243","35","35","35","282.04824831694833","282.04824831694833","282.04824831694833"
"4302","36","36","36","278.3298222704614","278.3298222704614","278.3298222704614"
"4360","37","37","37","274.93647900524024","274.93647900524024","274.93647900524024"
