"step_idx","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MIN","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MAX","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - ### EVERY TRAIN EPISODE REWARDS ###","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - ### EVERY TRAIN EPISODE REWARDS ###__MIN","14_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - ### EVERY TRAIN EPISODE REWARDS ###__MAX"
"691","0","0","0","691.8840666215488","691.8840666215488","691.8840666215488"
"782","1","1","1","222.4554944538428","222.4554944538428","222.4554944538428"
"862","2","2","2","189.56556846440148","189.56556846440148","189.56556846440148"
"927","3","3","3","161.9798775138564","161.9798775138564","161.9798775138564"
"982","4","4","4","139.3417482014623","139.3417482014623","139.3417482014623"
"1037","5","5","5","137.4832106936945","137.4832106936945","137.4832106936945"
"1090","6","6","6","135.22935033414893","135.22935033414893","135.22935033414893"
"1144","7","7","7","134.8602830744427","134.8602830744427","134.8602830744427"
"1204","8","8","8","151.4960428966103","151.4960428966103","151.4960428966103"
"1306","9","9","9","228.52634018452","228.52634018452","228.52634018452"
"1368","10","10","10","146.52884735065138","146.52884735065138","146.52884735065138"
"1424","11","11","11","146.8048951124838","146.8048951124838","146.8048951124838"
"1481","12","12","12","138.6621042143932","138.6621042143932","138.6621042143932"
"1538","13","13","13","141.83487912261882","141.83487912261882","141.83487912261882"
"1594","14","14","14","141.00375328293865","141.00375328293865","141.00375328293865"
"1652","15","15","15","148.13202735235603","148.13202735235603","148.13202735235603"
"1710","16","16","16","143.7464397306818","143.7464397306818","143.7464397306818"
"1768","17","17","17","146.95463257767642","146.95463257767642","146.95463257767642"
"1829","18","18","18","149.20685309602052","149.20685309602052","149.20685309602052"
"1933","19","19","19","246.62083435635412","246.62083435635412","246.62083435635412"
"2001","20","20","20","167.7122650329108","167.7122650329108","167.7122650329108"
"2056","21","21","21","145.55303260388482","145.55303260388482","145.55303260388482"
"2110","22","22","22","128.81691847649282","128.81691847649282","128.81691847649282"
"2164","23","23","23","141.23238910060493","141.23238910060493","141.23238910060493"
"2219","24","24","24","130.20645617622847","130.20645617622847","130.20645617622847"
"2276","25","25","25","149.34706776279376","149.34706776279376","149.34706776279376"
"2336","26","26","26","146.20804315343162","146.20804315343162","146.20804315343162"
"2394","27","27","27","152.42092725237742","152.42092725237742","152.42092725237742"
"2450","28","28","28","137.4249426131974","137.4249426131974","137.4249426131974"
