"921","0","0","0","1580.5701946626987","1580.5701946626987","1580.5701946626987"
"1001","1","1","1","249.31025561442885","249.31025561442885","249.31025561442885"
"1081","2","2","2","210.6555981272504","210.6555981272504","210.6555981272504"
"1160","3","3","3","177.26144468895149","177.26144468895149","177.26144468895149"
"1231","4","4","4","177.90130148132874","177.90130148132874","177.90130148132874"
"1307","5","5","5","176.03481854650042","176.03481854650042","176.03481854650042"
"1387","6","6","6","198.53696407755427","198.53696407755427","198.53696407755427"
"1460","7","7","7","166.97415506548586","166.97415506548586","166.97415506548586"
"1522","8","8","8","162.7423225665592","162.7423225665592","162.7423225665592"
"1733","9","9","9","530.2936559752467","530.2936559752467","530.2936559752467"
"1840","10","10","10","328.27067553268324","328.27067553268324","328.27067553268324"
"1958","11","11","11","366.0764666787386","366.0764666787386","366.0764666787386"
"2046","12","12","12","199.5916898706974","199.5916898706974","199.5916898706974"
"2120","13","13","13","151.22211266771637","151.22211266771637","151.22211266771637"
"2214","14","14","14","310.84532439452954","310.84532439452954","310.84532439452954"
"2292","15","15","15","205.6506428192798","205.6506428192798","205.6506428192798"
"2489","16","16","16","650.0538763048592","650.0538763048592","650.0538763048592"
"2576","17","17","17","225.4107607634271","225.4107607634271","225.4107607634271"
"2678","18","18","18","274.795664672373","274.795664672373","274.795664672373"
"2962","19","19","19","756.483642525062","756.483642525062","756.483642525062"
"3523","20","20","20","1580.4503636069664","1580.4503636069664","1580.4503636069664"
"5088","21","21","21","3241.7204717585014","3241.7204717585014","3241.7204717585014"
"5163","22","22","22","132.07096920829179","132.07096920829179","132.07096920829179"
"5234","23","23","23","184.66183420540128","184.66183420540128","184.66183420540128"
"5306","24","24","24","166.17591751924013","166.17591751924013","166.17591751924013"
"5397","25","25","25","214.61967743276134","214.61967743276134","214.61967743276134"
"5495","26","26","26","217.46891026284018","217.46891026284018","217.46891026284018"
"5580","27","27","27","187.64896988584536","187.64896988584536","187.64896988584536"
"5685","28","28","28","232.15249008371003","232.15249008371003","232.15249008371003"
"7998","29","29","29","5017.619431802661","5017.619431802661","5017.619431802661"
"8379","30","30","30","872.6217793106466","872.6217793106466","872.6217793106466"
"11151","31","31","31","6417.7937686686055","6417.7937686686055","6417.7937686686055"
"11869","32","32","32","1645.5795817552423","1645.5795817552423","1645.5795817552423"
"11964","33","33","33","177.41650422420875","177.41650422420875","177.41650422420875"
"12085","34","34","34","274.28016952253574","274.28016952253574","274.28016952253574"
"12201","35","35","35","197.41139660923363","197.41139660923363","197.41139660923363"
"12320","36","36","36","347.5342597768675","347.5342597768675","347.5342597768675"
"12452","37","37","37","316.886532490853","316.886532490853","316.886532490853"
"13012","38","38","38","1298.5872257577769","1298.5872257577769","1298.5872257577769"
"13770","39","39","39","1711.8386520373613","1711.8386520373613","1711.8386520373613"
"15319","40","40","40","3773.085165021271","3773.085165021271","3773.085165021271"
"15758","41","41","41","1274.609574829465","1274.609574829465","1274.609574829465"
"15869","42","42","42","378.73597390159","378.73597390159","378.73597390159"
"16017","43","43","43","356.608462172833","356.608462172833","356.608462172833"
"16291","44","44","44","642.6080405858088","642.6080405858088","642.6080405858088"
"16731","45","45","45","1462.8200212625986","1462.8200212625986","1462.8200212625986"
"17248","46","46","46","1403.647729864497","1403.647729864497","1403.647729864497"
"17585","47","47","47","988.5306963119161","988.5306963119161","988.5306963119161"
"17698","48","48","48","215.8002036688797","215.8002036688797","215.8002036688797"
"17940","49","49","49","682.1124542384428","682.1124542384428","682.1124542384428"
"18542","50","50","50","1904.7814772675379","1904.7814772675379","1904.7814772675379"
