"step_idx","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MIN","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - _step__MAX","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - ### EVERY TRAIN EPISODE REWARDS ###","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - ### EVERY TRAIN EPISODE REWARDS ###__MIN","17_Pendulum_Matlab_Double_RIP_v0_AgentDDPG_DeterministicContinuousActorCriticModel_win3090 - ### EVERY TRAIN EPISODE REWARDS ###__MAX"
"682","0","0","0","1459.4051874223792","1459.4051874223792","1459.4051874223792"
"781","1","1","1","177.08154233785393","177.08154233785393","177.08154233785393"
"861","2","2","2","213.4234821074108","213.4234821074108","213.4234821074108"
"941","3","3","3","188.7971634514763","188.7971634514763","188.7971634514763"
"1002","4","4","4","155.88484235100614","155.88484235100614","155.88484235100614"
"1059","5","5","5","139.8064574967491","139.8064574967491","139.8064574967491"
"1110","6","6","6","131.15101315035747","131.15101315035747","131.15101315035747"
"1166","7","7","7","135.95218731424467","135.95218731424467","135.95218731424467"
"1224","8","8","8","150.6138525964234","150.6138525964234","150.6138525964234"
"1324","9","9","9","225.32050653775013","225.32050653775013","225.32050653775013"
"1385","10","10","10","145.36860318891303","145.36860318891303","145.36860318891303"
"1444","11","11","11","149.79393666247003","149.79393666247003","149.79393666247003"
"1502","12","12","12","144.02634702038827","144.02634702038827","144.02634702038827"
"1561","13","13","13","150.88159409511087","150.88159409511087","150.88159409511087"
"1620","14","14","14","142.89749240453904","142.89749240453904","142.89749240453904"
"1678","15","15","15","148.5466957803135","148.5466957803135","148.5466957803135"
"1728","16","16","16","123.81511900892201","123.81511900892201","123.81511900892201"
"1781","17","17","17","139.05072565821848","139.05072565821848","139.05072565821848"
"1841","18","18","18","144.44770288487297","144.44770288487297","144.44770288487297"
"1946","19","19","19","239.04909870782654","239.04909870782654","239.04909870782654"
"2005","20","20","20","137.81658057242856","137.81658057242856","137.81658057242856"
"2069","21","21","21","168.24375287504026","168.24375287504026","168.24375287504026"
"2140","22","22","22","166.82505345682603","166.82505345682603","166.82505345682603"
"2205","23","23","23","168.39853388991827","168.39853388991827","168.39853388991827"
"2270","24","24","24","154.22990811246703","154.22990811246703","154.22990811246703"
"2332","25","25","25","161.45195171877864","161.45195171877864","161.45195171877864"
"2389","26","26","26","139.2183413208592","139.2183413208592","139.2183413208592"
"2443","27","27","27","142.5614003520827","142.5614003520827","142.5614003520827"
"2501","28","28","28","138.37965302364816","138.37965302364816","138.37965302364816"
"2595","29","29","29","207.18582044561435","207.18582044561435","207.18582044561435"
"2653","30","30","30","144.00071763541598","144.00071763541598","144.00071763541598"
"2712","31","31","31","154.77841191213474","154.77841191213474","154.77841191213474"
"2773","32","32","32","163.75588038623698","163.75588038623698","163.75588038623698"
"2830","33","33","33","137.1999299463217","137.1999299463217","137.1999299463217"
"2886","34","34","34","155.951172011861","155.951172011861","155.951172011861"
"2937","35","35","35","117.06883208594789","117.06883208594789","117.06883208594789"
"2993","36","36","36","155.1507682877509","155.1507682877509","155.1507682877509"
"3052","37","37","37","128.7719148142763","128.7719148142763","128.7719148142763"
"3111","38","38","38","165.02558029702956","165.02558029702956","165.02558029702956"
"3215","39","39","39","235.80549184661913","235.80549184661913","235.80549184661913"
"3280","40","40","40","159.8867706492749","159.8867706492749","159.8867706492749"
"3337","41","41","41","147.50640993897076","147.50640993897076","147.50640993897076"
"3397","42","42","42","145.39691074993868","145.39691074993868","145.39691074993868"
"3456","43","43","43","152.30626770591707","152.30626770591707","152.30626770591707"
"3530","44","44","44","182.00210785754106","182.00210785754106","182.00210785754106"
"3593","45","45","45","158.51845037607424","158.51845037607424","158.51845037607424"
"3658","46","46","46","162.57347768137993","162.57347768137993","162.57347768137993"
"3728","47","47","47","173.91975954496118","173.91975954496118","173.91975954496118"
"3790","48","48","48","156.2067950243454","156.2067950243454","156.2067950243454"
"3884","49","49","49","213.39794508345253","213.39794508345253","213.39794508345253"
"3954","50","50","50","157.80069759738493","157.80069759738493","157.80069759738493"
"4039","51","51","51","235.4387309920038","235.4387309920038","235.4387309920038"
"4123","52","52","52","191.2245838309811","191.2245838309811","191.2245838309811"
"4199","53","53","53","202.3375047324916","202.3375047324916","202.3375047324916"
"4308","54","54","54","289.4579540644287","289.4579540644287","289.4579540644287"
"4446","55","55","55","457.93424105986395","457.93424105986395","457.93424105986395"
"4565","56","56","56","337.2120388744997","337.2120388744997","337.2120388744997"
"4834","57","57","57","891.2853886917156","891.2853886917156","891.2853886917156"
"4911","58","58","58","177.43379428565564","177.43379428565564","177.43379428565564"
"5080","59","59","59","276.3188547923291","276.3188547923291","276.3188547923291"
"5210","60","60","60","342.995873912052","342.995873912052","342.995873912052"
"5337","61","61","61","405.7521659347423","405.7521659347423","405.7521659347423"
"5513","62","62","62","524.6523143762242","524.6523143762242","524.6523143762242"
"5652","63","63","63","456.9518758909621","456.9518758909621","456.9518758909621"
"5736","64","64","64","202.55957566583993","202.55957566583993","202.55957566583993"
"5870","65","65","65","459.95281930428104","459.95281930428104","459.95281930428104"
"5935","66","66","66","153.48785116195478","153.48785116195478","153.48785116195478"
"6051","67","67","67","337.23621812709","337.23621812709","337.23621812709"
"6171","68","68","68","342.9185951444168","342.9185951444168","342.9185951444168"
"6324","69","69","69","377.57221360607775","377.57221360607775","377.57221360607775"
"6460","70","70","70","296.3227632295152","296.3227632295152","296.3227632295152"
"7211","71","71","71","2270.59899380538","2270.59899380538","2270.59899380538"
"7333","72","72","72","372.2223470514297","372.2223470514297","372.2223470514297"
"7407","73","73","73","210.25742757047755","210.25742757047755","210.25742757047755"
"7494","74","74","74","252.6669833379705","252.6669833379705","252.6669833379705"
"7667","75","75","75","532.2249233146583","532.2249233146583","532.2249233146583"
"7757","76","76","76","257.0060720966551","257.0060720966551","257.0060720966551"
"7887","77","77","77","381.9800530450259","381.9800530450259","381.9800530450259"
"8222","78","78","78","991.6409130885347","991.6409130885347","991.6409130885347"
"8557","79","79","79","939.9956086837283","939.9956086837283","939.9956086837283"
"8726","80","80","80","501.938492926221","501.938492926221","501.938492926221"
"8832","81","81","81","298.0636397383581","298.0636397383581","298.0636397383581"
"8963","82","82","82","398.781832488433","398.781832488433","398.781832488433"
"9145","83","83","83","536.5446001777963","536.5446001777963","536.5446001777963"
"9299","84","84","84","436.5623202210651","436.5623202210651","436.5623202210651"
"9447","85","85","85","400.691439394532","400.691439394532","400.691439394532"
"9597","86","86","86","450.1849278824802","450.1849278824802","450.1849278824802"
"9720","87","87","87","339.42900219540275","339.42900219540275","339.42900219540275"
"9879","88","88","88","483.54795297595194","483.54795297595194","483.54795297595194"
"10238","89","89","89","1025.8184029784177","1025.8184029784177","1025.8184029784177"
"10383","90","90","90","430.0663933051303","430.0663933051303","430.0663933051303"
"10495","91","91","91","330.697050642987","330.697050642987","330.697050642987"
"10599","92","92","92","297.7692016509324","297.7692016509324","297.7692016509324"
"10709","93","93","93","318.97877790242427","318.97877790242427","318.97877790242427"
"10888","94","94","94","513.6902934647302","513.6902934647302","513.6902934647302"
